"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J55";"PinHeader_1x07_P2.54mm_Vertical";1;"L_MAP_RANGE";;;
2;"R21,R28,R26,R23,R24,R25,R3,R30,R4,R5,R1,R22,R6,R2,R29,R27";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";16;"R4.7K";;;
3;"J56";"PinHeader_1x03_P2.54mm_Vertical";1;"LB_ENC";;;
4;"J11";"PinHeader_1x03_P2.54mm_Vertical";1;"AP1";;;
5;"C4,C2,C15,C9,C5,C3,C1,C17";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";8;"100nF";;;
6;"J49";"PinHeader_1x03_P2.54mm_Vertical";1;"RVOR/ADF_1";;;
7;"J57";"PinHeader_1x03_P2.54mm_Vertical";1;"LVOR/ADF_1";;;
8;"C8,C10";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"10uF";;;
9;"J37";"PinHeader_1x02_P2.54mm_Vertical";1;"H_PUSH";;;
10;"H3,H1,H7,H2,H4,H5,H6";"MountingHole_2.7mm_M2.5_DIN965_Pad_TopBottom";7;"MountingHole";;;
11;"J33";"PinHeader_1x02_P2.54mm_Vertical";1;"LVL_OFF";;;
12;"J54";"PinHeader_1x06_P2.54mm_Vertical";1;"L_MAP_MODE";;;
13;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"X322512MSB4SI";;;
14;"J72";"PinHeader_1x02_P2.54mm_Vertical";1;"VS_PULL";;;
15;"J42";"PinHeader_1x03_P2.54mm_Vertical";1;"ALT_ENC";;;
16;"J6";"PinHeader_1x03_P2.54mm_Vertical";1;"APPR";;;
17;"C16,C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1uF";;;
18;"J14";"PinHeader_1x04_P2.54mm_Vertical";1;"ALT_OLED";;;
19;"J46";"PinHeader_1x03_P2.54mm_Vertical";1;"VS_ENC";;;
20;"U3,U9,U6,U2,U4,U1";"SOIC-24W_7.5x15.4mm_P1.27mm";6;"CD74HC4067M";;;
21;"R9,R19,R8,R11,R12,R7,R20";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";7;"R10K";;;
22;"J53";"PinHeader_1x07_P2.54mm_Vertical";1;"R_MAP_RANGE";;;
23;"C21,C23,C22,C12,C14,C26,C25,C24,C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";9;"100nF";;;
24;"C6,C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"15pF";;;
25;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"R_OLED";;;
26;"J47";"PinHeader_1x03_P2.54mm_Vertical";1;"L_NDB";;;
27;"J35";"PinHeader_1x03_P2.54mm_Vertical";1;"HDG_ENC";;;
28;"R18,R17";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"27.4";;;
29;"J24";"PinHeader_1x02_P2.54mm_Vertical";1;"LB_PUSH";;;
30;"J44";"PinHeader_1x02_P2.54mm_Vertical";1;"RB_PUSH";;;
31;"P1";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Plug_USB2.0";;;
32;"J7";"PinHeader_1x03_P2.54mm_Vertical";1;"EXPED";;;
33;"J32";"PinHeader_1x02_P2.54mm_Vertical";1;"MET_ALT";;;
34;"J3";"PinHeader_1x04_P2.54mm_Vertical";1;"SPD_OLED";;;
35;"J8";"PinHeader_1x03_P2.54mm_Vertical";1;"LOC";;;
36;"J70";"PinHeader_1x02_P2.54mm_Vertical";1;"H_PULL";;;
37;"J34";"PinHeader_1x02_P2.54mm_Vertical";1;"S_PUSH";;;
38;"J39";"PinHeader_1x03_P2.54mm_Vertical";1;"RB_hPa/inHg";;;
39;"J21";"PinHeader_1x03_P2.54mm_Vertical";1;"R_NDB";;;
40;"J31";"PinHeader_1x02_P2.54mm_Vertical";1;"HDG/TRK";;;
41;"J10";"PinHeader_1x03_P2.54mm_Vertical";1;"AP2";;;
42;"I2C_1";"SOP65P640X120-24N";1;"PCA9548APW";;;
43;"J17";"PinHeader_1x03_P2.54mm_Vertical";1;"R_LS";;;
44;"J18";"PinHeader_1x03_P2.54mm_Vertical";1;"R_CSTR";;;
45;"R10";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1k";;;
46;"R15";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"DNP";;;
47;"J51";"PinHeader_1x06_P2.54mm_Vertical";1;"R_MAP_MODE";;;
48;"J22";"PinHeader_1x03_P2.54mm_Vertical";1;"R_ARPT";;;
49;"J38";"PinHeader_1x02_P2.54mm_Vertical";1;"RB_PULL";;;
50;"J69";"PinHeader_1x02_P2.54mm_Vertical";1;"S_PULL";;;
51;"J25";"PinHeader_1x03_P2.54mm_Vertical";1;"LB_hPa/inHg";;;
52;"J19";"PinHeader_1x03_P2.54mm_Vertical";1;"R_WPT";;;
53;"U7";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
54;"J58";"PinHeader_1x03_P2.54mm_Vertical";1;"LVOR/ADF_2";;;
55;"R13";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"220";;;
56;"J15";"PinHeader_1x04_P2.54mm_Vertical";1;"VSPEED_OLED";;;
57;"J16";"PinHeader_1x03_P2.54mm_Vertical";1;"R_FD";;;
58;"J30";"PinHeader_1x02_P2.54mm_Vertical";1;"SPD/MACH";;;
59;"R16";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
60;"J40";"PinHeader_1x03_P2.54mm_Vertical";1;"L_VORD";;;
61;"J45";"PinHeader_1x03_P2.54mm_Vertical";1;"A_1H_1K";;;
62;"J28";"PinHeader_1x03_P2.54mm_Vertical";1;"L_CSTR";;;
63;"J23";"PinHeader_1x02_P2.54mm_Vertical";1;"LB_PULL";;;
64;"J41";"PinHeader_1x03_P2.54mm_Vertical";1;"SPD_ENC";;;
65;"J59";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
66;"U8";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
67;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"L_OLED";;;
68;"J36";"PinHeader_1x03_P2.54mm_Vertical";1;"RB_ENC";;;
69;"J60";"PinHeader_1x04_P2.54mm_Vertical";1;"RP2040_SWD";;;
70;"J29";"PinHeader_1x03_P2.54mm_Vertical";1;"L_WPT";;;
71;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"HDG_OLED";;;
72;"J27";"PinHeader_1x03_P2.54mm_Vertical";1;"L_LS";;;
73;"J48";"PinHeader_1x02_P2.54mm_Vertical";1;"VS_PUSH";;;
74;"J20";"PinHeader_1x03_P2.54mm_Vertical";1;"R_VORD";;;
75;"R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k";;;
76;"J71";"PinHeader_1x02_P2.54mm_Vertical";1;"A_PULL";;;
77;"J43";"PinHeader_1x02_P2.54mm_Vertical";1;"A_PUSH";;;
78;"J5";"PinHeader_1x04_P2.54mm_Vertical";1;"H_T_OLED";;;
79;"J52";"PinHeader_1x03_P2.54mm_Vertical";1;"L_ARPT";;;
80;"U5";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
81;"J9";"PinHeader_1x03_P2.54mm_Vertical";1;"A/THR";;;
82;"J26";"PinHeader_1x03_P2.54mm_Vertical";1;"L_FD";;;
83;"J50";"PinHeader_1x03_P2.54mm_Vertical";1;"RVOR/ADF_2";;;
84;"D1";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"LED";;;
