Designator,Footprint,Quantity,Value,LCSC Part #
"DG-1, DW-1",1206,2,LED,
"H1, H2",MountingHole_2.5mm_Pad_TopBottom,2,MountingHole,
J1,PinHeader_1x03_P2.54mm_Vertical,1,BTN+LED,
J2,PinHeader_1x02_P2.54mm_Vertical,1,BK_LED,
"RG-1, RW-1",1206,2,R,
SW1,SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,1,SW,C4364985
